step,Lz_total
0,0.0
100,-3.0502298481601374e-14
200,8.474210916320501e-14
300,1.4399176295754046e-12
400,4.921452134709625e-12
500,1.0215162049576065e-11
600,1.638200686215896e-11
700,2.275690746955661e-11
800,2.8639313143230538e-11
900,3.373656909388956e-11
1000,3.7776004546685726e-11
10000,-1.6342482922482304e-13
10100,-1.6342482922482304e-13
10200,-1.5276668818842154e-13
10300,-9.592326932761353e-14
10400,-6.039613253960852e-14
10500,-2.1316282072803006e-14
10600,-1.3145040611561853e-13
10700,-1.4210854715202004e-14
10800,-9.237055564881302e-14
10900,-2.4868995751603507e-14
1100,4.084554916516936e-11
11000,0.0
11100,1.2079226507921703e-13
11200,7.460698725481052e-14
11300,-1.4210854715202004e-14
11400,7.105427357601002e-15
11500,-3.552713678800501e-15
11600,7.105427357601002e-14
11700,1.3855583347321954e-13
11800,-7.105427357601002e-15
11900,3.552713678800501e-15
1200,4.260947150669381e-11
12000,5.3290705182007514e-14
12100,4.263256414560601e-14
12200,4.263256414560601e-14
12300,-2.1316282072803006e-14
12400,-2.842170943040401e-14
12500,4.263256414560601e-14
12600,1.4210854715202004e-14
12700,1.4210854715202004e-14
12800,6.394884621840902e-14
12900,4.973799150320701e-14
1300,4.334488323820551e-11
13000,3.552713678800501e-15
13100,4.263256414560601e-14
13200,3.197442310920451e-14
13300,1.2434497875801753e-13
13400,4.618527782440651e-14
13500,4.263256414560601e-14
13600,6.394884621840902e-14
13700,1.8829382497642655e-13
13800,3.907985046680551e-14
13900,5.684341886080802e-14
1400,4.32578417530749e-11
14000,7.105427357601002e-14
14100,7.105427357601002e-14
14200,5.684341886080802e-14
14300,7.105427357601002e-14
14400,8.526512829121202e-14
14500,4.618527782440651e-14
14600,-3.907985046680551e-14
14700,-1.4210854715202004e-14
14800,-1.0658141036401503e-14
14900,-2.1316282072803006e-14
1500,4.2444270320629585e-11
15000,-3.197442310920451e-14
15100,-9.592326932761353e-14
15200,-4.263256414560601e-14
15300,-4.618527782440651e-14
15400,7.105427357601002e-15
15500,6.750155989720952e-14
15600,1.2789769243681803e-13
15700,6.394884621840902e-14
15800,1.0302869668521453e-13
15900,1.1723955140041653e-13
1600,4.1030290276466985e-11
16000,1.8829382497642655e-13
16100,2.3447910280083306e-13
16200,3.019806626980426e-13
16300,2.7000623958883807e-13
16400,2.8066438062523957e-13
16500,2.877698079828406e-13
16600,3.304023721284466e-13
16700,2.2382096176443156e-13
16800,1.8474111129762605e-13
16900,2.0605739337042905e-13
1700,3.920064273188473e-11
17000,1.7763568394002505e-13
17100,1.1013412404281553e-13
17200,1.3145040611561853e-13
17300,1.1013412404281553e-13
17400,5.3290705182007514e-14
17500,6.750155989720952e-14
17600,6.394884621840902e-14
17700,4.973799150320701e-14
17800,2.1316282072803006e-14
17900,7.105427357601002e-14
1800,3.709743623403483e-11
18000,7.815970093361102e-14
18100,1.0658141036401503e-13
18200,4.263256414560601e-14
18300,6.394884621840902e-14
18400,2.4868995751603507e-14
18500,3.552713678800501e-14
18600,1.7763568394002505e-14
18700,0.0
18800,8.171241461241152e-14
18900,8.526512829121202e-14
1900,3.4937386317324126e-11
19000,9.592326932761353e-14
19100,1.1723955140041653e-13
19200,8.526512829121202e-14
19300,9.947598300641403e-14
19400,9.947598300641403e-14
19500,1.5276668818842154e-13
19600,1.4921397450962104e-13
19700,1.4566126083082054e-13
19800,1.1013412404281553e-13
19900,1.3855583347321954e-13
2000,3.250377744734578e-11
20000,1.1368683772161603e-13
20100,2.842170943040401e-14
20200,1.3500311979441904e-13
20300,9.592326932761353e-14
20400,4.973799150320701e-14
20500,1.1013412404281553e-13
20600,8.526512829121202e-14
20700,7.460698725481052e-14
20800,1.3145040611561853e-13
20900,1.4566126083082054e-13
2100,3.008793214576144e-11
21000,1.2079226507921703e-13
21100,1.8829382497642655e-13
21200,1.4921397450962104e-13
21300,1.2079226507921703e-13
21400,7.815970093361102e-14
21500,5.684341886080802e-14
21600,3.552713678800501e-14
21700,3.907985046680551e-14
21800,-2.1316282072803006e-14
21900,-3.907985046680551e-14
2200,2.7412738745624665e-11
22000,-1.0302869668521453e-13
22100,3.552713678800501e-15
22200,-3.552713678800501e-15
22300,-1.7763568394002505e-14
22400,1.7763568394002505e-14
22500,7.105427357601002e-14
22600,-3.552713678800501e-14
22700,1.0658141036401503e-14
22800,-3.197442310920451e-14
22900,-6.394884621840902e-14
2300,2.4950708166215918e-11
23000,-3.907985046680551e-14
23100,-7.105427357601002e-14
23200,-9.947598300641403e-14
23300,-8.526512829121202e-14
23400,-1.5987211554602254e-13
23500,-1.4210854715202004e-13
23600,-2.0961010704922955e-13
23700,-1.6697754290362354e-13
23800,-1.8829382497642655e-13
23900,-1.5987211554602254e-13
2400,2.254196829198918e-11
24000,-1.1723955140041653e-13
24100,-8.881784197001252e-14
24200,-8.171241461241152e-14
24300,-7.815970093361102e-14
24400,-8.881784197001252e-14
24500,-1.1368683772161603e-13
24600,-8.881784197001252e-14
24700,-4.263256414560601e-14
24800,-1.7053025658242404e-13
24900,-1.2079226507921703e-13
2500,1.9909407455998007e-11
25000,-7.460698725481052e-14
25100,-4.973799150320701e-14
25200,-6.394884621840902e-14
25300,-3.907985046680551e-14
25400,-2.1316282072803006e-14
25500,-5.3290705182007514e-14
25600,-8.881784197001252e-14
25700,0.0
25800,3.907985046680551e-14
25900,3.552713678800501e-15
2600,1.7671197838353692e-11
26000,-2.842170943040401e-14
26100,3.552713678800501e-14
26200,1.4210854715202004e-14
26300,2.4868995751603507e-14
26400,6.394884621840902e-14
26500,-2.4868995751603507e-14
26600,3.552713678800501e-14
26700,-1.4210854715202004e-14
26800,-6.394884621840902e-14
26900,-4.263256414560601e-14
2700,1.545430450278218e-11
27000,-3.552713678800501e-15
27100,-4.973799150320701e-14
27200,-6.394884621840902e-14
27300,-2.4868995751603507e-14
27400,-1.2434497875801753e-13
27500,-9.592326932761353e-14
27600,-8.526512829121202e-14
27700,-6.394884621840902e-14
27800,-8.171241461241152e-14
27900,-2.842170943040401e-14
2800,1.333688715021708e-11
28000,-6.039613253960852e-14
28100,-1.4210854715202004e-14
28200,-2.4868995751603507e-14
28300,-2.1316282072803006e-14
28400,2.1316282072803006e-14
28500,4.618527782440651e-14
28600,1.1368683772161603e-13
28700,1.2789769243681803e-13
28800,1.4921397450962104e-13
28900,1.6697754290362354e-13
2900,1.1240786079724785e-11
29000,1.5987211554602254e-13
29100,2.0250467969162855e-13
29200,1.6342482922482304e-13
29300,1.5987211554602254e-13
29400,1.4210854715202004e-13
29500,1.5276668818842154e-13
29600,8.881784197001252e-14
29700,1.2079226507921703e-13
29800,1.0302869668521453e-13
29900,1.2789769243681803e-13
3000,9.464429240324534e-12
30000,6.394884621840902e-14
30100,7.460698725481052e-14
30200,2.4868995751603507e-14
30300,2.4868995751603507e-14
30400,0.0
30500,-4.973799150320701e-14
30600,3.552713678800501e-15
30700,-2.842170943040401e-14
30800,0.0
30900,-1.4210854715202004e-14
3100,7.709388682997087e-12
31000,3.552713678800501e-14
31100,2.4868995751603507e-14
31200,2.842170943040401e-14
31300,1.4210854715202004e-14
31400,3.552713678800501e-14
31500,4.973799150320701e-14
31600,7.105427357601002e-15
31700,-6.394884621840902e-14
31800,2.1316282072803006e-14
31900,3.197442310920451e-14
3200,6.146194664324867e-12
32000,1.4210854715202004e-14
32100,3.197442310920451e-14
32200,3.552713678800501e-14
32300,3.197442310920451e-14
32400,4.618527782440651e-14
32500,5.684341886080802e-14
32600,5.684341886080802e-14
32700,7.815970093361102e-14
32800,8.881784197001252e-14
32900,8.526512829121202e-14
3300,4.639844064513454e-12
33000,1.1723955140041653e-13
33100,9.947598300641403e-14
33200,1.1368683772161603e-13
33300,1.1013412404281553e-13
33400,9.947598300641403e-14
33500,1.8118839761882555e-13
33600,1.5276668818842154e-13
33700,1.6342482922482304e-13
33800,2.0250467969162855e-13
33900,1.8829382497642655e-13
3400,3.247180302423658e-12
34000,1.5987211554602254e-13
34100,2.2026824808563106e-13
34200,2.0250467969162855e-13
34300,1.9539925233402755e-13
34400,1.4921397450962104e-13
34500,7.815970093361102e-14
34600,1.2789769243681803e-13
34700,7.105427357601002e-14
34800,7.460698725481052e-14
34900,8.171241461241152e-14
3500,2.0534685063466895e-12
35000,9.947598300641403e-14
35100,9.592326932761353e-14
35200,1.0302869668521453e-13
35300,7.460698725481052e-14
35400,3.552713678800501e-15
35500,-7.105427357601002e-15
35600,-5.684341886080802e-14
35700,-8.171241461241152e-14
35800,-1.4210854715202004e-14
35900,-1.0658141036401503e-13
3600,9.166001291305292e-13
36000,-5.3290705182007514e-14
36100,-9.237055564881302e-14
36200,-4.263256414560601e-14
36300,-1.4210854715202004e-14
36400,3.552713678800501e-14
36500,1.4210854715202004e-14
36600,3.552713678800501e-14
36700,1.1013412404281553e-13
36800,1.3855583347321954e-13
36900,1.7408297026122455e-13
3700,-1.3500311979441904e-13
37000,1.8474111129762605e-13
37100,1.8118839761882555e-13
37200,2.2737367544323206e-13
37300,8.171241461241152e-14
37400,9.592326932761353e-14
37500,8.881784197001252e-14
37600,1.7763568394002505e-14
37700,-1.4210854715202004e-14
37800,-2.842170943040401e-14
37900,-7.105427357601002e-14
3800,-1.0089706847793423e-12
38000,-7.105427357601002e-14
38100,-4.973799150320701e-14
38200,-7.815970093361102e-14
38300,-4.973799150320701e-14
38400,-5.684341886080802e-14
38500,-1.4210854715202004e-14
38600,3.552713678800501e-15
38700,2.4868995751603507e-14
38800,7.460698725481052e-14
38900,1.0658141036401503e-13
3900,-1.7834622667578515e-12
39000,8.526512829121202e-14
39100,1.4210854715202004e-13
39200,8.171241461241152e-14
39300,1.2434497875801753e-13
39400,4.263256414560601e-14
39500,0.0
39600,-1.7763568394002505e-14
39700,2.4868995751603507e-14
39800,-2.1316282072803006e-14
39900,1.4210854715202004e-14
4000,-2.4513724383723456e-12
40000,-3.552713678800501e-15
4100,-3.140598892059643e-12
4200,-3.531397396727698e-12
4300,-3.979039320256561e-12
4400,-4.32720526077901e-12
4500,-4.718003765447065e-12
4600,-4.938272013532696e-12
4700,-5.094591415399918e-12
4800,-5.10880227011512e-12
4900,-5.144329406903125e-12
5000,-5.030642569181509e-12
5100,-4.888534022029489e-12
5200,-4.718003765447065e-12
5300,-4.39825953435502e-12
5400,-4.220623850414995e-12
5500,-3.851141627819743e-12
5600,-3.694822225952521e-12
5700,-3.424815986363683e-12
5800,-3.147704319417244e-12
5900,-2.8776980798284058e-12
6000,-2.6574298317427747e-12
6100,-2.4300561562995426e-12
6200,-2.2311041902867146e-12
6300,-2.1032064978498966e-12
6400,-1.9468870959826745e-12
6500,-1.8900436771218665e-12
6600,-1.7550405573274475e-12
6700,-1.7763568394002505e-12
6800,-1.7195134205394424e-12
6900,-1.7408297026122455e-12
7000,-1.6555645743210334e-12
7100,-1.5987211554602254e-12
7200,-1.5134560271690134e-12
7300,-1.5063505998114124e-12
7400,-1.4352963262354024e-12
7500,-1.3713474800169934e-12
7600,-1.3002932064409833e-12
7700,-1.2150280781497713e-12
7800,-1.1652900866465643e-12
7900,-1.1155520951433573e-12
8000,-1.0444978215673473e-12
8100,-1.0018652574217413e-12
8200,-8.597567102697212e-13
8300,-8.171241461241152e-13
8400,-8.171241461241152e-13
8500,-6.608047442568932e-13
8600,-6.963318810448982e-13
8700,-6.536993168992922e-13
8800,-5.044853423896711e-13
8900,-6.110667527536862e-13
9000,-5.115907697472721e-13
9100,-4.547473508864641e-13
9200,-4.192202140984591e-13
9300,-3.623767952376511e-13
9400,-3.907985046680551e-13
9500,-3.055333763768431e-13
9600,-3.694822225952521e-13
9700,-2.2737367544323206e-13
9800,-2.3447910280083306e-13
9900,-2.7711166694643907e-13
